[Yeas[Nays[Outcome[Issue[Title[Vote number[Congress[Session[Democratic Party Yeas[Democratic Party Nays[Republican Party Yeas[Republican Party Nays[Other Party Yeas[Other Party Nays[Tiebreaking Vote[Vote Threshold Required[Tiebreaking Authority
1702[50[50[False[H.R. 4554[Motion to Table Bradley Amdt. No. 2308; To reduce the appropriation for buildings and facilities for agricultural research programs.[210[103[2[25.0[31.0[25.0[19.0[0.0[0.0[Did not vote[1/2[
1731[50[50[False[S. 2182[DOLE AMDT. NO. 1851; To terminate the United States arms embargo applicable to the Government of Bosnia and Herzegovina.[181[103[2[13.0[43.0[37.0[7.0[0.0[0.0[Did not vote[1/2[
2089[49[49[False[H.R. 4[Motion to Table Gramm Amendment No. 2615; To establish a national clearinghouse on teenage pregnancy, set national goals for the reduction of out-of-wedlock and teenage pregnancies, require States to establish a set-aside for teenage pregnancy prevention activities, and for other purposes.[436[104[1[44.0[2.0[5.0[47.0[0.0[0.0[Did not vote[1/2[
2336[50[50[False[S.Con.Res. 13[SARBANES AMDT NO. 1149; To restore the cuts to Federal Retirement Programs by providing that the Federal Retirement programs will continue to calculate retirement benefits from the average of an employee's high 3 years of service.[189[104[1[45.0[1.0[5.0[49.0[0.0[0.0[Did not vote[1/2[
2348[50[50[False[S.Con.Res. 13[Roth amdt. no. 1121; To express the sense of the Senate that the number of Federal full-time equivalent positions should be further reduced, and for other purposes.[177[104[1[3.0[43.0[47.0[7.0[0.0[0.0[Did not vote[1/2[
2540[50[50[False[H.R. 3662[motion to table bumpers amdt no. 5353 as modified; To increase the fee charged for grazing on Federal land.[291[104[2[9.0[38.0[41.0[12.0[0.0[0.0[Did not vote[1/2[
2814[48[48[False[S. 1541[Dorgan amdt. no. 3451; To require farmers crops to receive federal payments.[17[104[2[46.0[0.0[2.0[48.0[0.0[0.0[Did not vote[1/2[
2828[45[45[False[H.R. 2880[motion to waive CBA re: harkin amdt no. 3122; To provide for additional funding to the Office of the Inspector General of the Department of Health and Human Services.[3[104[2[43.0[2.0[2.0[43.0[0.0[0.0[[3/5[
3202[49[49[False[S. 2312[motion to waive cba re: Hutchinson Amdt no. 3249; To terminate the Internal Revenue Code of 1986.[241[105[2[2.0[42.0[47.0[7.0[0.0[0.0[[3/5[
3218[50[50[False[S. 2260[Bumpers Amdt No. 3263; To make it illegal, in most cases, to tape a phone conversation without the consent of all parties.[225[105[2[44.0[1.0[6.0[49.0[0.0[0.0[Did not vote[1/2[
3238[49[49[False[S. 2159[Motion to table Kerrey Amdt. No. 3161; To ensure the continued viability of livestock producers and the livestock industry in the United States.[205[105[2[2.0[41.0[47.0[8.0[0.0[0.0[Did not vote[1/2[
3284[47[47[False[S. 1415[Motion to Table Reed Amdt. No. 2702; To disallow tax deductions for advertising, promotional, and marketing expenses relating to tobacco product use unless certain requirements are met.[159[105[2[4.0[38.0[43.0[9.0[0.0[0.0[Did not vote[1/2[
3553[49[49[False[H.R. 2084[Motion to Invoke Cloture on the Motion to Proceed to H.R.2084; A bill making appropriations for the Department of Transportation and related agencies for the fiscal year ending September 30, 2000, and for other purposes.[264[106[1[0.0[45.0[49.0[4.0[0.0[0.0[[3/5[
3583[50[50[False[S. 1429[Motion to Waive the CBA Re: Kerry Motion to Recommit S.1429; An original bill to provide for reconciliation pursuant to section 104 of the concurrent resolution on the budget for fiscal year 2000.[234[106[1[43.0[2.0[7.0[48.0[0.0[0.0[[3/5[
3683[50[50[True[S. 254[Lautenberg Amendment No. 362; To regulate the sale of firearms at gun shows.[134[106[1[44.0[1.0[6.0[49.0[0.0[0.0[Yea[1/2[Vice President
3799[50[50[False[H.Res. 611[Art II, Articles of Impeachment v. President W. J. Clinton; A resolution impeaching William Jefferson Clinton, President of the United States, for high crimes and misdemeanors.[18[106[1[0.0[0.0[0.0[0.0[0.0[0.0[[2/3[
3897[49[49[False[H.R. 4461["Motion To Table Harkin Amdt. No. 3938; To prohibit the use of appropriated funds to label, mark, stamp, or tag as ""inspected and passed"" meat, meat products, poultry, or poultry products that do not meet microbiological performance standards established by the Secretary of Agriculture."[218[106[2[2.0[43.0[47.0[6.0[0.0[0.0[Did not vote[1/2[
3910[49[49[False[H.R. 4810[Motion to Waive CBA re: Durbin Amdt No. 3852 as modified; To amend the Internal Revenue Code of 1986 to allow small business employers a credit against income tax for employee health insurance expenses paid or incurred by the employer.[205[106[2[44.0[0.0[5.0[49.0[0.0[0.0[[3/5[
4037[49[49[False[S.Con.Res. 101[Kennedy Amdt. No. 2962; To expand medicaid and S. CHIP coverage to low income families.[78[106[2[45.0[0.0[4.0[49.0[0.0[0.0[Did not vote[1/2[
4038[49[49[False[S.Con.Res. 101[Motion to Table Kennedy Amendment No. 2962; To expand medicaid and S. CHIP coverage to low income families.[77[106[2[0.0[45.0[49.0[4.0[0.0[0.0[Did not vote[1/2[
4087[49[49[False[S. 1134[Boxer Amendment No. 2873 (Reconsidered); To express the sense of the Senate on improving the learning environment by ensuring safe schools.[28[106[2[44.0[0.0[5.0[49.0[0.0[0.0[Did not vote[1/2[
4088[49[49[False[S. 1134[Boxer Amendment No. 2873; To express the sense of the Senate on improving the learning environment by ensuring safe schools.[27[106[2[44.0[0.0[5.0[49.0[0.0[0.0[Did not vote[1/2[
4138[50[50[True[H.R. 3338[Motion to Waive the CBA re: the Committee Substitute to H.R. 3338; A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2002, and for other purposes.[357[107[1[49.0[1.0[0.0[49.0[1.0[0.0[[3/5[
4307[50[50[False[S. 1[Sessions Amdt. No. 604, as modified; To amend the Individuals with Disabilities Education Act regarding discipline.[188[107[1[9.0[41.0[41.0[8.0[0.0[1.0[Did not vote[1/2[
4346[50[50[False[H.R. 1836[Daschle Amendment No. 768; To limit the reduction in the 39.6 rate bracket to 1 percentage point and to increase the maximum taxable income subject to the 15 percent rate.[149[107[1[46.0[4.0[4.0[46.0[0.0[0.0[Did not vote[1/2[
4369[49[49[False[H.R. 1836[McCain Amendment No. 660; To limit the reduction in the 39.6 rate bracket to 1 percentage point and to increase the maximum taxable income subject to the 15 percent rate.[126[107[1[44.0[5.0[5.0[44.0[0.0[0.0[Did not vote[1/2[
4416[50[50[True[H.Con.Res. 83[Hutchison Amdt. No. 347; To eliminate the marriage penalty tax.[79[107[1[1.0[49.0[49.0[1.0[0.0[0.0[Yea[1/2[Vice President
4429[50[50[False[H.Con.Res. 83[Baucus Amdt. No. 172; To establish a prescription drug benefit under Title XVIII of the Social Security Act, without using funds generated from either the Medicare or Social Security surpluses, that is voluntary; accessible to all beneficiaries; designed to assist beneficiaries with the high cost of prescription drugs, protect them from excessive out of pocket costs, and give them bargaining power in the marketplace; affordable to all beneficiaries and the program; administered using private sector entities and competitive purchasing techniques; and consistent with broader Medicare reform.[66[107[1[49.0[1.0[1.0[49.0[0.0[0.0[Did not vote[1/2[
4430[50[50[True[H.Con.Res. 83[Grassley Amdt. No. 173; To revise certain provisions providing for a reserve fund for prescription drugs and medicare reform in the Senate.[65[107[1[1.0[49.0[49.0[1.0[0.0[0.0[Yea[1/2[Vice President
4523[49[49[False[H.R. 5005[Motion to Invoke Cloture on the Lieberman Amdt. No. 4471, as amended; To provide a substitute.[225[107[2[47.0[2.0[1.0[47.0[1.0[0.0[[3/5[
4615[49[49[False[H.R. 4775[Motion to Waive CBA re: Gregg Amdt. No. 3687; To extend the strengthen procedures to maintain fiscal accountability and responsibility.[133[107[2[11.0[38.0[38.0[10.0[0.0[1.0[[3/5[
4629[49[49[True[H.R. 3009[Motion to Table Allen Amdt. No. 3406; To provide mortgage assistance for employees who are separated from employment.[119[107[2[12.0[38.0[36.0[11.0[1.0[0.0[Yea[1/2[Vice President
4874[47[47[False[H.R. 2660["Motion To Waive CBA
Dodd Amdt. No. 1597; To increase funds for Head Start."[333[108[1[43.0[1.0[3.0[46.0[1.0[0.0[[3/5[
4902[46[46[False[H.R. 2555[Byrd AMDT. No. 1383; To provide post-employment lobbying restrictions on employees of the Department of Homeland Security and the Office of Homeland Security within the Executive Office of the President.[305[108[1[42.0[0.0[3.0[46.0[1.0[0.0[Did not vote[1/2[
4905[48[48[False[H.R. 2555[Schumer AMDT. No. 1370; To increase the funding for discretionary grants for use in high-threat urban areas and decrease funding for information analysis and infrastructure protection, science and technology, and research and development.[302[108[1[42.0[2.0[5.0[46.0[1.0[0.0[Did not vote[1/2[
4938[48[48[False[S. 925[Motion To Waive CBA Murray Amdt. No. 1170; To provide additional weeks of temporary extended unemployment compensation for individuals who have exhausted such compensation and to make extended unemployment benefits under the Railroad Unemployment Insurance Act temporarily available for employees with less than 10 years of service.[269[108[1[44.0[0.0[3.0[48.0[1.0[0.0[[3/5[
5011[50[50[True[H.R. 2[H.R. 2 Conference Report; To provide for reconciliation pursuant to section 201 of the concurrent resolution on the budget for fiscal year 2004.[196[108[1[2.0[46.0[48.0[3.0[0.0[1.0[Yea[1/2[Vice President
5036[50[50[True[S. 1054[Nickles Amdt. No. 664; To modify the dividend exclusion provision, and for other purposes.[171[108[1[2.0[46.0[48.0[3.0[0.0[1.0[Yea[1/2[Vice President
5073[50[50[True[H.Con.Res. 95[H.Con.Res.95 Conference Report ; A concurrent resolution establishing the congressional budget for the United States Government for fiscal year 2004 and setting forth appropriate budgetary levels for fiscal years 2003 and 2005 through 2013.[134[108[1[1.0[47.0[49.0[2.0[0.0[1.0[Yea[1/2[Vice President
5118[49[49[False[S.Con.Res. 23[Harkin Amdt. No. 396; To help rural health care providers and hospitals receive a fair reimbursement for services under Medicare by reducing tax cuts to the wealthiest income brackets.[89[108[1[47.0[0.0[1.0[49.0[1.0[0.0[Did not vote[1/2[
5287[49[49[False[S. 2400[Motion To Waive CBA RE: Corzine Amdt. No. 3303; To amend title 10, United States Code, to reduce the age for receipt of military retired pay for nonregular service from 60 to 55.[136[108[2[45.0[2.0[3.0[47.0[1.0[0.0[[3/5[
5316[48[48[False[S. 2400[Cantwell Amdt. No. 3261; To ensure adequate funding for, and the continuation of activities related to, the treatment by the Department of Energy of high level radioactive waste.[107[108[2[44.0[1.0[3.0[47.0[1.0[0.0[Did not vote[1/2[
5426[50[50[True[S. 1932[Motion to Concur in House Amdt. To S. 1932, With an Amdt.; An original bill to provide for reconciliation pursuant to section 202(a) of the concurrent resolution on the budget for fiscal year 2006 (H. Con. Res. 95).[363[109[1[0.0[44.0[50.0[5.0[0.0[1.0[Yea[1/2[Vice President
5736[50[50[False[S.Con.Res. 18[Feingold Amdt. No. 186; To fully reinstate the pay-as-you-go requirement.[53[109[1[44.0[0.0[5.0[50.0[1.0[0.0[Did not vote[1/2[
5740[50[50[False[S.Con.Res. 18[Nelson (FL) Amdt. No. 145; To express the sense of the Senate that  Congress should reject any Social Security plan that requires deep benefit cuts or a massive increase in debt.[49[109[1[44.0[0.0[5.0[50.0[1.0[0.0[Did not vote[1/2[
5872[50[50[False[H.R. 5441[Motion to Waive the Emergency Designation Re: Schumer Amdt. No. 4587; To increase the amount appropriated for transit security by $300,000,000.[196[109[2[43.0[1.0[6.0[49.0[1.0[0.0[[3/5[
5874[50[50[False[H.R. 5441[Motion to Waive CBA Re: Biden Amdt. No. 4553; To increase amounts for the rail and transit security programs, and for other purposes.[194[109[2[42.0[2.0[7.0[48.0[1.0[0.0[[3/5[
5917[49[49[False[S. 2611[Cornyn Amdt. No. 4097; To modify the requirements for confidentiality certain information submitted by an alien seeking an adjustment of status under section 245B.[151[109[2[4.0[39.0[45.0[9.0[0.0[1.0[Did not vote[1/2[
5995[50[50[False[S.Con.Res. 83[Ensign Amdt No. 3166; To deny funds in FY2007 for the United Nations Human Rights Council, which the United States just voted against because countries found complicit in sustained human rights abuses are eligible for Council membership.  Savings redirected to border security.[73[109[2[2.0[42.0[48.0[7.0[0.0[1.0[Did not vote[1/2[
5998[50[50[False[S.Con.Res. 83[Bingaman Amdt No. 3121; To strike the direct spending limitation.[70[109[2[43.0[1.0[6.0[49.0[1.0[0.0[Did not vote[1/2[
6019[49[49[False[S.Con.Res. 83[Nelson Amdt. No. 3009; To establish a deficit-neutral reserve fund to protect medicare beneficiaries who enroll in the prescription drug benefit during 2006.[49[109[2[43.0[0.0[5.0[49.0[1.0[0.0[Did not vote[1/2[
6029[50[50[False[S.Con.Res. 83[Kennedy Amdt. No. 3028; To support college access and job training by: (1) restoring program cuts slated for vocational education, TRIO, GEAR UP, Perkins Loans, and other student aid programs; (2) increasing investment in student aid programs, including increasing the maximum Pell Grant to $4,500; and (3) restoring cuts slated for job training programs; paid for by closing $6.3 billion in corporate tax loopholes.[39[109[2[44.0[0.0[5.0[50.0[1.0[0.0[Did not vote[1/2[
6030[50[50[False[S.Con.Res. 83[Conrad Amdt. No. 3013; To fully reinstate the pay-as-you-go requirement through 2011.[38[109[2[44.0[0.0[5.0[50.0[1.0[0.0[Did not vote[1/2[
6164[47[47[False[H.R. 1585[Levin Amdt. No. 2898; To provide for a reduction and transition of United States forces in Iraq.[346[110[1[44.0[3.0[3.0[43.0[0.0[1.0[[3/5[
6240[48[48[False[H.R. 2669[Motion to Waive CBA Kerry Amdt. No. 2364.; A sense of the Senate relative to the Alternative Minimum Tax.[270[110[1[46.0[1.0[0.0[47.0[2.0[0.0[[3/5[
6242[48[48[False[H.R. 2669[Motion to Waive CBA DeMint Amdt. 2362; To repeal the sunset of the Economic Growth and Tax Relief Reconciliation Act of 2001 with respect to the expansion of the adoption credit and adoption assistance programs.[268[110[1[2.0[45.0[46.0[1.0[0.0[2.0[[3/5[
6243[48[48[False[H.R. 2669[Motion to Waive CBA Landrieu Amdt. No. 2363; A sense of the Senate relative to the adoption tax credit[267[110[1[46.0[1.0[0.0[47.0[2.0[0.0[[3/5[
6246[48[48[False[H.R. 2669[Motion to Waive CBA Schumer Amdt. No. 2361; A sense of the Senate relative to tax policy.[264[110[1[46.0[0.0[0.0[48.0[2.0[0.0[[3/5[
6354[47[47[False[S. 1082[Durbin Amdt. No. 1034; To reduce financial conflict of interest in FDA Advisory Panels.[156[110[1[42.0[6.0[3.0[41.0[2.0[0.0[Did not vote[1/2[
6654[49[49[False[S.Con.Res. 70[Ensign Amdt. No. 4335; To increase funding for the Department of Justice for the vigorous enforcement of a prohibition against taking minors across State lines in circumvention of laws requiring the involvement of parents in abortion decisions consistent with the Child Custody Protection Act, which passed the Senate by a bipartisan vote of 65-34, with an offset.[71[110[2[5.0[43.0[44.0[4.0[0.0[2.0[Did not vote[1/2[
6675[50[50[False[S.Con.Res. 70[Kyl Amdt. No. 4191; To protect small businesses, family ranches and farms from the Death Tax by providing a $5 million exemption, a low rate for smaller estates and a maximum rate no higher than 35%.[50[110[2[2.0[47.0[48.0[1.0[0.0[2.0[Did not vote[1/2[
6678[50[50[True[S.Con.Res. 70[Motion to Reconsider Amdt. No. 4189; To repeal section 13203 of the Omnibus Budget Reconciliation Act of 1993 by restoring the Alternative Minimum Tax rates that had been in effect prior thereto.[47[110[2[1.0[48.0[49.0[0.0[0.0[2.0[Yea[1/2[Vice President
7210[49[49[False[H.R. 4213[Coburn Motion to Suspend Rule 22 Re: Motion to Refer the House Message on H.R. 4213 to the Committee on Finance; A bill to amend the Internal Revenue Code of 1986 to extend certain expiring provisions, and for other purposes.[211[111[2[9.0[47.0[40.0[0.0[0.0[2.0[[2/3[
7479[50[50[False[S. 1723[Motion to Invoke Cloture on the Motion to Proceed to S. 1723; A bill to provide for teacher and first responder stabilization.[177[112[1[49.0[2.0[0.0[47.0[1.0[1.0[[3/5[
7508[48[48[False[H.R. 2832[Cornyn Amdt. No. 634; To provide Taiwan with critically needed United States-built multirole fighter aircraft to strengthen its self-defense capability against the increasing military threat from China.[148[112[1[4.0[47.0[43.0[0.0[1.0[1.0[[3/5[
7602[50[50[False[S. 493[McConnell Amdt. No. 183; To prohibit the Administrator of the Environmental Protection Agency from promulgating any regulation concerning, taking action relating to, or taking into consideration the emission of a greenhouse gas to address climate change.[54[112[1[4.0[47.0[46.0[1.0[0.0[2.0[[3/5[
7868[49[49[False[S. 1813[Stabenow Amdt. No. 1812 As Modified; To prevent a tax increase on American businesses and to provide certainty to job creators by extending certain expiring tax credits relating to energy.[39[112[2[47.0[4.0[0.0[45.0[2.0[0.0[[3/5[
8296[50[50[False[H.J.Res. 124[Motion to Table Amdt. No. 3852; Of a perfecting nature.[268[113[2[5.0[48.0[45.0[0.0[0.0[2.0[Did not vote[1/2[
8765[50[50[False[H.R. 2[Motion to Waive Applicable Budgetary Discipline Bennet Amdt. No. 1115; To protect and retain our Children's Health Insurance Program for 4 years (PRO-CHIP).[138[114[1[44.0[0.0[4.0[50.0[2.0[0.0[[3/5[
9093[50[50[True[H.R. 1[Cruz Amdt. No. 1852; To allow limited 529 account funds to be used for elementary and secondary education, including homeschool.[298[115[1[0.0[46.0[50.0[2.0[0.0[2.0[Yea[1/2[Vice President
9142[50[50[True[H.J.Res. 111["H. J. Res. 111; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by Bureau of Consumer Financial Protection relating to ""Arbitration Agreements""."[249[115[1[0.0[46.0[50.0[2.0[0.0[2.0[Yea[1/2[Vice President
9151[50[50[False[H.Con.Res. 71[Lee Amdt. No. 1428; To modify a deficit neutral reserve fund relating to public land and the environment to address making payments under the payments in lieu of taxes program equivalent to the property tax revenue that would be due to a State or local government if the State or local government owned the land.[240[115[1[1.0[45.0[49.0[3.0[0.0[2.0[Did not vote[1/2[
9217[50[50[False[H.R. 1628[Motion to Waive All Applicable Budgetary Discipline Re: Strange Amdt. No. 389; To provide for premium assistance for low-income individuals.[174[115[1[0.0[46.0[50.0[2.0[0.0[2.0[[3/5[
9224[50[50[True[H.R. 1628[Motion to Proceed to H.R. 1628; A bill to provide for reconciliation pursuant to title II of the concurrent resolution on the budget for fiscal year 2017.[167[115[1[0.0[46.0[50.0[2.0[0.0[2.0[Yea[1/2[Vice President
9290[50[50[True[H.J.Res. 43[H.J. Res. 43; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients.[101[115[1[0.0[46.0[50.0[2.0[0.0[2.0[Yea[1/2[Vice President
9291[50[50[True[H.J.Res. 43[Motion to Proceed to H.J. Res. 43; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients.[100[115[1[0.0[46.0[50.0[2.0[0.0[2.0[Yea[1/2[Vice President
9337[50[50[True[PN37[Confirmation Elisabeth Prince DeVos, of Michigan, to be Secretary of Education[54[115[1[0.0[46.0[50.0[2.0[0.0[2.0[Yea[1/2[Vice President
9366[49[49[False[S.Con.Res. 3[Motion to Waive the C.B.A. Re: Brown Amdt. No. 86; To create a point of order against legislation that would undermine the historic coverage gains the United States has made in children's health, which have resulted in the lowest uninsured rate for children in the Nation's history.[25[115[1[45.0[0.0[2.0[49.0[2.0[0.0[[3/5[
9368[49[49[False[S.Con.Res. 3[Motion to Waive the C.B.A. Re: Gillibrand Amdt. No. 82; To create a point of order against legislation that makes women sick again.[23[115[1[45.0[0.0[2.0[49.0[2.0[0.0[[3/5[
9372[49[49[False[S.Con.Res. 3[Motion to Waive All Applicable Budgetary Discipline Re: Alexander Amdt. No. 174; To strengthen Social Security and Medicare without raiding them to pay for new government programs, like Obamacare, that have failed Americans by increasing premiums and reducing affordable health care options, to reform Medicaid without prioritizing able-bodied adults over the disabled, and to ensure that any importation does not increase risk to public health according to the Secretary of Health and Human Services.[19[115[1[0.0[45.0[49.0[2.0[0.0[2.0[[3/5[
9376[49[49[False[S.Con.Res. 3[Motion to Waive the C.B.A. Re: Casey Amdt. No. 61; To create a point of order against legislation that would make people with disabilities and chronic conditions sick again.[15[115[1[45.0[0.0[2.0[49.0[2.0[0.0[[3/5[
9385[49[49[False[S.Con.Res. 3["Motion to Waive All Applicable Budgetary Discipline Re: Sanders Amdt. No. 19; To prevent the Senate from breaking Donald Trump's promise that ""there will be no cuts to Social Security, Medicare, and Medicaid""."[6[115[1[46.0[0.0[1.0[49.0[2.0[0.0[[3/5[
9391[47[47[True[H.R. 695[Motion to Proceed to the House Message to Accompany H.R. 695; To amend the National Child Protection Act of 1993 to establish a voluntary national criminal history background check system and criminal history review program for certain individuals who, related to their employment, have access to children, the elderly, or individuals with disabilities, and for other purposes.[274[115[2[1.0[45.0[46.0[0.0[0.0[2.0[Yea[1/2[Vice President
9407[50[50[True[PN2117[Confirmation Jonathan A. Kobes, of South Dakota, to be U.S. Circuit Judge for the Eighth Circuit[258[115[2[0.0[47.0[50.0[1.0[0.0[2.0[Yea[1/2[Vice President
9414[49[49[True[PN2117[Motion to Invoke Cloture: Jonathan A. Kobes to be U.S. Circuit Judge for the Eighth Circuit[251[115[2[0.0[47.0[49.0[0.0[0.0[2.0[Yea[1/2[Vice President
9416[50[50[True[PN1412[Motion to Invoke Cloture on Thomas Alvin Farr, of North Carolina, to be U.S. District Judge for the Eastern District of North Carolina[249[115[2[0.0[47.0[50.0[1.0[0.0[2.0[Yea[1/2[Vice President
9439[50[50[False[S.J.Res. 63["S.J. Res. 63; A joint resolution providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Secretary of the Treasury, Secretary of Labor, and Secretary of Health and Human Services relating to ""Short-Term, Limited Duration Insurance""."[226[115[2[47.0[0.0[1.0[50.0[2.0[0.0[Did not vote[1/2[
9625[49[49[True[PN367[Confirmation Russell Vought, of Virginia, to be Deputy Director of the Office of Management and Budget [40[115[2[0.0[47.0[49.0[0.0[0.0[2.0[Yea[1/2[Vice President
9642[49[49[True[PN1341[Confirmation Samuel Dale Brownback, of Kansas, to be Ambassador at Large for International Religious Freedom[23[115[2[0.0[47.0[49.0[0.0[0.0[2.0[Yea[1/2[Vice President
9643[49[49[True[PN1341[Motion to Invoke Cloture Re: Samuel Dale Brownback to be Ambassador at Large for International Religious Freedom[22[115[2[0.0[47.0[49.0[0.0[0.0[2.0[Yea[1/2[Vice President
10186[47[47[False[S. 178[Motion to Table Tillis Amdt. No. 2673; To amend the Health Insurance Portability and Accountability Act to prohibit pre-existing condition exclusions.[199[116[2[43.0[0.0[3.0[47.0[1.0[0.0[Did not vote[1/2[
10306[48[48[False[H.R. 748[Sasse Amdt No.1577; To ensure that additional unemployment benefits do not result in an individual receiving unemployment compensation that is more than the amount of wages the individual was earning prior to becoming unemployed.[79[116[2[1.0[44.0[47.0[2.0[0.0[2.0[[3/5[
10308[47[47[False[H.R. 748[Motion to Invoke Cloture: Re: Motion to Proceed to H.R. 748; A bill to amend the Internal Revenue Code of 1986 to repeal the excise tax on high cost employer-sponsored health coverage.[77[116[2[0.0[45.0[47.0[1.0[0.0[1.0[[3/5[
10427[50[50[True[PN930[Confirmation: Rachael S. Rollins, of Massachusetts, to the U.S. Attorney for the District of Massachusetts[486[117[1[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10428[50[50[True[PN930[Motion to Invoke Cloture: Rachael S. Rollins to be U.S. Attorney for the District of Massachusetts [485[117[1[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10442[50[50[True[PN604[Motion to Invoke Cloture: Brian Eddie Nelson to be Under Secretary for Terrorism and Financial Crimes[471[117[1[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10451[49[49[True[PN807[Motion to Discharge: Jennifer Sung to be U.S. Circuit Judge for the Ninth Circuit from the Committee on the Judiciary[462[117[1[47.0[0.0[0.0[49.0[2.0[0.0[Yea[1/2[Vice President of the United States
10494[50[50[True[PN572[Confirmation: Catherine Elizabeth Lhamon, of California, to be Assistant Secretary for Civil Rights, Department of Education[419[117[1[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10495[50[50[True[PN572[Motion to Invoke Cloture: Catherine Elizabeth Lhamon to be Assistant Secretary for Civil Rights, Department of Education[418[117[1[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10515[50[50[True[PN116[Motion to Invoke Cloture: Rohit Chopra to be Director, Bureau of Consumer Financial Protection[398[117[1[48.0[0.0[0.0[50.0[2.0[0.0[Yea[1/2[Vice President of the United States
10518[50[50[False[H.R. 5305[Marshall Amdt. No. 3831; To prohibit the use of Federal funds for implementing or enforcing COVID-19 vaccine mandates.[395[117[1[0.0[48.0[50.0[0.0[0.0[2.0[[3/5[
10519[50[50[False[H.R. 5305[Cotton Amdt. No. 3833; To modify the immigration benefits for which certain Afghan nationals are eligible.[394[117[1[0.0[48.0[50.0[0.0[0.0[2.0[Did not vote[1/2[
